bug: ap_get_conn_socket in process_socket, pair: (ap_get_conn_socket, apr_socket_timeout_set), support: 4, confidence: 66.67%
bug: apr_thread_mutex_lock in process_socket, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 17, confidence: 70.83%
bug: apr_thread_mutex_lock in process_timeout_queue, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 17, confidence: 70.83%
bug: apr_file_open in open_error_log, pair: (ap_log_error_, apr_file_open), support: 5, confidence: 71.43%
bug: apr_file_open in open_error_log, pair: (apr_file_close, apr_file_open), support: 6, confidence: 85.71%
bug: prep_walk_cache in ap_if_walk_sub, pair: (apr_array_push, prep_walk_cache), support: 4, confidence: 133.33%
bug: prep_walk_cache in ap_if_walk_sub, pair: (ap_merge_per_dir_configs, prep_walk_cache), support: 4, confidence: 133.33%
bug: ap_pass_brigade in bail_out_on_error, pair: (ap_pass_brigade, apr_brigade_create), support: 16, confidence: 66.67%
bug: apr_pstrcatv in ap_expr_eval_word, pair: (apr_pstrcatv, strlen), support: 4, confidence: 80.00%
bug: sigemptyset in ap_unixd_mpm_set_signals, pair: (ap_log_error_, sigemptyset), support: 4, confidence: 100.00%
bug: apr_socket_timeout_get in writev_nonblocking, pair: (apr_socket_timeout_get, apr_socket_timeout_set), support: 3, confidence: 75.00%
bug: ap_regexec in ap_rxplus_exec, pair: (ap_regexec, apr_palloc), support: 4, confidence: 66.67%
bug: apr_proc_create in piped_log_spawn, pair: (apr_palloc, apr_proc_create), support: 4, confidence: 66.67%
bug: apr_procattr_cmdtype_set in piped_log_spawn, pair: (apr_palloc, apr_procattr_cmdtype_set), support: 4, confidence: 100.00%
bug: apr_procattr_dir_set in piped_log_spawn, pair: (apr_palloc, apr_procattr_dir_set), support: 3, confidence: 100.00%
bug: apr_procattr_create in piped_log_spawn, pair: (apr_palloc, apr_procattr_create), support: 3, confidence: 100.00%
bug: apr_thread_cond_broadcast in ap_queue_term, pair: (apr_thread_cond_broadcast, apr_thread_mutex_unlock), support: 3, confidence: 100.00%
bug: apr_thread_cond_broadcast in ap_queue_term, pair: (apr_thread_cond_broadcast, apr_thread_mutex_lock), support: 3, confidence: 100.00%
bug: apr_thread_mutex_lock in ap_queue_term, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 17, confidence: 70.83%
bug: apr_thread_mutex_lock in ap_queue_pop_something, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 17, confidence: 70.83%
